,X,Y
1032,1032,0.62
1033,1033,0.69
1034,1034,0.46
1035,1035,0.66
1036,1036,0.65
1037,1037,0.54
1038,1038,0.53
1039,1039,0.67
1040,1040,0.74
1041,1041,0.44
1042,1042,0.49
1043,1043,0.63
1044,1044,0.74
1045,1045,0.55
1046,1046,0.27
1047,1047,0.62
1048,1048,0.6
1049,1049,0.77
1050,1050,0.54
1051,1051,0.47
1052,1052,0.55
1053,1053,0.57
1054,1054,0.38
1055,1055,0.81
1056,1056,0.81
1057,1057,0.68
1058,1058,0.51
1059,1059,0.28
1060,1060,0.67
1061,1061,0.58
1062,1062,0.34
1063,1063,0.46
1064,1064,0.4
1065,1065,0.51
1066,1066,0.41
1067,1067,0.58
1068,1068,0.55
1069,1069,0.71
1070,1070,0.16
1071,1071,0.5
1072,1072,0.44
1073,1073,0.63
1074,1074,0.29
1075,1075,0.43
1076,1076,0.41
1077,1077,0.97
1078,1078,0.81
1079,1079,0.54
1080,1080,0.29
1081,1081,0.68
1082,1082,0.48
1083,1083,0.52
1084,1084,0.73
1085,1085,0.17
1086,1086,0.67
1087,1087,0.4
1088,1088,0.36
1089,1089,0.51
1090,1090,0.41
1091,1091,0.49
1092,1092,0.67
1093,1093,0.9
1094,1094,0.46
1095,1095,0.67
1096,1096,0.69
1097,1097,0.49
1098,1098,0.57
1099,1099,0.95
1100,1100,0.94
1101,1101,0.96
1102,1102,0.74
1103,1103,0.55
1104,1104,0.07
1105,1105,0.27
1106,1106,0.82
1107,1107,0.66
1108,1108,0.3
1109,1109,0.82
1110,1110,1.45
1111,1111,0.58
1112,1112,0.97
1113,1113,0.88
1114,1114,0.68
1115,1115,0.84
1116,1116,0.53
1117,1117,0.5
1118,1118,0.49
1119,1119,0.99
1120,1120,0.59
1121,1121,0.56
1122,1122,0.67
1123,1123,0.54
1124,1124,0.68
1125,1125,0.55
1126,1126,0.72
1127,1127,1.01
1128,1128,0.38
1129,1129,0.71
1130,1130,0.71
1131,1131,0.54
1132,1132,0.9
1133,1133,0.71
1134,1134,0.84
1135,1135,0.63
1136,1136,0.85
1137,1137,0.67
1138,1138,0.55
1139,1139,0.88
1140,1140,0.78
1141,1141,0.84
1142,1142,0.48
1143,1143,0.82
1144,1144,0.86
1145,1145,0.89
1146,1146,0.58
1147,1147,0.92
1148,1148,0.61
1149,1149,0.77
1150,1150,0.76
1151,1151,0.57
1152,1152,0.68
1153,1153,0.74
1154,1154,0.57
1155,1155,0.61
1156,1156,0.15
1157,1157,0.47
1158,1158,0.84
1159,1159,0.77
1160,1160,0.98
1161,1161,0.66
1162,1162,0.49
1163,1163,1.04
1164,1164,0.73
1165,1165,0.7
1166,1166,1.16
1167,1167,0.71
1168,1168,0.61
1169,1169,0.66
1170,1170,0.47
1171,1171,0.57
1172,1172,1.15
1173,1173,0.91
1174,1174,0.68
1175,1175,0.6
1176,1176,0.89
1177,1177,0.68
